Latitude,Longitude,Speed,Heading,Timestamp
42.10528,-87.79274,54.2,90.7,2018-09-21 14:09:06:161
42.10528,-87.79274,54.2,90.7,2018-09-21 14:09:06:660
42.10527,-87.79256,53.3,90.4,2018-09-21 14:09:07:160
42.10527,-87.79256,53.3,90.4,2018-09-21 14:09:07:660
42.10527,-87.79238,53.9,90.2,2018-09-21 14:09:08:160
42.10527,-87.79238,53.9,90.2,2018-09-21 14:09:08:660
42.10526,-87.79219,55.5,90.7,2018-09-21 14:09:09:160
42.10526,-87.79219,55.5,90.7,2018-09-21 14:09:09:660
42.10526,-87.792,57.5,91.1,2018-09-21 14:09:10:161
42.10526,-87.792,57.5,91.1,2018-09-21 14:09:10:660
42.10526,-87.7918,60,91.3,2018-09-21 14:09:11:160
42.10526,-87.7918,60,91.3,2018-09-21 14:09:11:660
42.10525,-87.79159,62.1,91.4,2018-09-21 14:09:12:160
42.10525,-87.79159,62.1,91.4,2018-09-21 14:09:12:660
42.10525,-87.79137,63.6,90.9,2018-09-21 14:09:13:160
42.10525,-87.79137,63.6,90.9,2018-09-21 14:09:13:661
42.10524,-87.79115,64,90.9,2018-09-21 14:09:14:160
42.10524,-87.79115,64,90.9,2018-09-21 14:09:14:660
42.10524,-87.79094,64,90.9,2018-09-21 14:09:15:160
42.10524,-87.79094,64,90.9,2018-09-21 14:09:15:661
42.10523,-87.79072,63.5,90.9,2018-09-21 14:09:16:160
42.10523,-87.79072,63.5,90.9,2018-09-21 14:09:16:661
42.10523,-87.79051,61.8,90.9,2018-09-21 14:09:17:161
42.10523,-87.79051,61.8,90.9,2018-09-21 14:09:17:660
42.10523,-87.79032,57.8,90.6,2018-09-21 14:09:18:160
42.10523,-87.79032,57.8,90.6,2018-09-21 14:09:18:660
42.10523,-87.79014,52.4,90,2018-09-21 14:09:19:160
42.10523,-87.79014,52.4,90,2018-09-21 14:09:19:660
42.10523,-87.78998,47.2,89.7,2018-09-21 14:09:20:161
42.10523,-87.78998,47.2,89.7,2018-09-21 14:09:20:660
42.10523,-87.78983,46,89.6,2018-09-21 14:09:21:160
