latitude,longitude
42.10528,-87.79274
42.10528,-87.79274
42.10527,-87.79256
42.10527,-87.79256
42.10527,-87.79238
42.10527,-87.79238
42.10526,-87.79219
42.10526,-87.79219
42.10526,-87.792
42.10526,-87.792
42.10526,-87.7918
42.10526,-87.7918
42.10525,-87.79159
42.10525,-87.79159
42.10525,-87.79137
42.10525,-87.79137
42.10524,-87.79115
42.10524,-87.79115
42.10524,-87.79094
42.10524,-87.79094
42.10523,-87.79072
42.10523,-87.79072
42.10523,-87.79051
42.10523,-87.79051
42.10523,-87.79032
42.10523,-87.79032
42.10523,-87.79014
42.10523,-87.79014
42.10523,-87.78998
42.10523,-87.78998
42.10523,-87.78983
42.10523,-87.78983
42.10523,-87.78966
42.10523,-87.78966
42.10522,-87.78948
42.10522,-87.78948
42.10522,-87.7893
42.10522,-87.7893
42.10522,-87.7891
42.10522,-87.7891
42.10523,-87.78891
42.10523,-87.78891
42.10523,-87.7887
42.10523,-87.7887
42.10523,-87.7885
42.10523,-87.7885
42.10524,-87.7883
42.10524,-87.7883
42.10524,-87.7881
42.10524,-87.7881
42.10523,-87.78791
42.10523,-87.78791
42.10522,-87.78772
42.10522,-87.78772
42.10521,-87.78754
42.10521,-87.78754
42.10519,-87.78736
42.10519,-87.78736
42.10517,-87.78719
42.10517,-87.78719
42.10513,-87.78704
42.10513,-87.78704
42.10509,-87.78688
42.10509,-87.78688
42.10504,-87.78673
42.10504,-87.78673
42.10499,-87.78657
42.10499,-87.78657
42.10494,-87.78642
42.10494,-87.78642
42.10487,-87.78626
42.10487,-87.78626
42.1048,-87.78611
42.1048,-87.78611
42.10471,-87.78596
42.10471,-87.78596
42.10463,-87.78581
42.10463,-87.78581
42.10454,-87.78566
42.10454,-87.78566
42.10443,-87.78552
42.10443,-87.78552
42.10432,-87.7854
42.10432,-87.7854
42.10421,-87.78529
42.10421,-87.78529
42.10411,-87.78517
42.10411,-87.78517
42.104,-87.78505
42.104,-87.78505
42.10388,-87.78494
42.10388,-87.78494
42.10378,-87.78482
42.10378,-87.78482
42.10366,-87.78469
42.10366,-87.78469
42.10354,-87.78457
42.10354,-87.78457
42.10342,-87.78444
42.10342,-87.78444
42.1033,-87.78431
42.1033,-87.78431
42.10319,-87.78418
42.10319,-87.78418
42.10307,-87.78404
42.10307,-87.78404
42.10293,-87.78391
42.10293,-87.78391
42.1028,-87.78378
42.1028,-87.78378
42.10267,-87.78361
42.10267,-87.78361
42.10256,-87.78347
42.10256,-87.78347
42.10242,-87.78332
42.10242,-87.78332
42.10235,-87.78317
